Date,ammunition,small_arms,artillery,canned_food,barrels,aeroplanes,cotton,dye,wool,silk,coal,sulphur,iron,timber,tropical_wood,rubber,oil,precious_metal,steel,cement,machine_parts,glass,fuel,fertilizer,explosives,clipper_convoy,steamer_convoy,electric_gear,fabric,lumber,paper,cattle,fish,fruit,grain,tobacco,tea,coffee,opium,automobiles,telephones,wine,liquor,regular_clothes,luxury_clothes,furniture,luxury_furniture,radio,
1837.1.1,1.102347504761905,1.001496936936937,0.9993215444444442,0.9755594583333332,1.0,1.0,1.147476,1.1579874444444445,1.0200342857142857,1.1953906666666665,1.1952591304347828,1.1994168888888888,0.9988558095238096,1.1734955555555557,1.1930267901234568,1.2953357142857143,1.1722791666666665,1.0,1.058641134751773,1.0151814583333332,1.0292522739726029,1.1231066666666665,1.0,1.0760074666666666,1.0742057333333332,1.0297115555555556,1.0102869641025642,1.0,1.1104699999999998,1.0347013333333335,0.9789978431372548,1.1721673333333333,1.306967111111111,1.1360511111111113,1.1134493939393935,1.0910006060606061,1.021560769230769,1.4023003174603175,1.2110427083333333,1.0,1.0,1.1454351202749145,1.1190737499999999,1.031522528735632,1.0318053846153847,0.9882869387755101,1.035039830508475,1.0,
1838.1.1,1.157847111111111,1.0015029829829827,1.0140939814814813,0.9995134027777776,1.0,1.0,1.125492777777778,1.2063123456790121,1.027025396825397,1.229483185185185,1.1987407407407409,1.234240987654321,0.9967161904761904,1.1721773662551442,1.213238477366255,1.556733650793651,1.3247612962962962,1.0,1.0761996059889678,1.0276658333333333,1.0734354134956874,1.1296263090676881,1.0,1.0959454074074073,1.1102742777777777,1.071568941798942,1.0246394245014245,1.0,1.1147129629629628,1.037074074074074,0.9860411764705886,1.1951901851851854,1.3326716049382714,1.1390168724279837,1.1279072390572387,1.0923484848484846,1.0252393162393163,1.428110229276896,1.2232537037037037,1.0,1.0,1.169697098129057,1.1206608796296298,1.037006896551724,1.0599559316239318,0.9940215419501133,1.0660531450094162,1.0,
1839.1.1,1.178821067669173,1.0009112802275957,1.0250595263157893,1.0164305263157893,1.0,1.0,1.124068157894737,1.2393563157894738,1.0331300751879695,1.271133,1.203512700228833,1.2435710526315786,0.9938283458646618,1.1878959064327481,1.2362431286549709,1.83709484962406,1.4883053289473682,1.0,1.0788026875699885,1.0240859703947367,1.1160252343186736,1.1362469147005443,1.0,1.1039961578947368,1.1242791578947369,1.1128858208020052,1.0355245263157895,1.0,1.1545293859649124,1.0466255263157893,0.9929476780185763,1.2144197368421052,1.358948421052631,1.1472119883040937,1.1411708133971286,1.1027342105263158,1.0341436234817813,1.4774111528822051,1.2760953125,1.0,1.0,1.1899586543678788,1.1287019736842108,1.0485023593466425,1.0901486761133605,1.009513963480129,1.0993163380909903,1.0,
1840.1.1,1.1977869624060156,0.9988466714082501,1.0429541666666668,1.0512836019736844,1.0,1.0,1.0987814473684212,1.2886148464912284,1.0399037593984957,1.3246852368421052,1.2016802059496567,1.2655223684210528,0.9893126315789473,1.1966766081871347,1.2646334307992202,2.3522591353383455,1.7888178289473682,1.0,1.0827819708846584,1.020628618421053,1.1861008074981976,1.1357016333938295,1.0,1.1254117368421053,1.1425601578947364,1.1769332644110275,1.0558034251012145,1.0,1.1889204678362573,1.0582160526315787,1.006660371517028,1.2381276315789471,1.3844122807017547,1.1540902046783625,1.1538619617224881,1.1242868421052628,1.0463013157894738,1.5465265664160397,1.3500987664473687,1.0,1.0,1.228194546934346,1.1387034539473682,1.087424274047187,1.1456279068825914,1.057358485499463,1.1604375245316683,1.0,
1841.1.1,1.181936917293233,0.9936708961593173,1.0561863771929825,1.0574574013157894,1.0,1.0,1.111820394736842,1.2913368201754387,1.0387748120300753,1.340937894736842,1.1996186498855836,1.2679368859649125,0.9869042105263158,1.206042690058479,1.2975115009746592,2.8142136090225565,2.0893303070175437,1.0,1.081549104143337,1.0129237664473683,1.2525246647440518,1.1312508166969149,1.0,1.1318654999999995,1.1340518421052628,1.2027855576441102,1.0757094898785424,1.0,1.2319453216374268,1.0698065789473683,1.0130907120743036,1.2515621052631576,1.3979338596491226,1.1696027777777773,1.160567105263158,1.1429657894736835,1.0533934210526315,1.644742731829574,1.415046875,1.0,1.0,1.2528523602821484,1.133517351973684,1.1233941923774957,1.2011071336032386,1.098429967776584,1.2215587065120426,1.0,
1842.1.1,1.134196879120879,0.9873958419958423,1.0657735641025643,1.0487816025641024,1.0,1.0,1.0802074358974356,1.268702286324786,1.0293476190476194,1.332016205128205,1.1933840579710144,1.2667132905982907,0.9885599999999999,1.2096,1.3124594966761634,3.1308701465201474,2.4010891666666665,1.0,1.077765302782324,1.0299972275641027,1.3263809343168247,1.1222215738284702,1.0,1.1508908205128205,1.119244564102564,1.209905647130647,1.1008123550295859,1.0,1.2555138176638174,1.0780266666666667,1.0178127450980394,1.2406200000000003,1.3832813675213673,1.1779444444444447,1.1578506993006994,1.1759333333333333,1.0615012820512821,1.7808628815628815,1.461511778846154,1.0,1.0,1.3035487443827651,1.1352271233974356,1.16315433244916,1.2586626153846154,1.1455620617477762,1.2849672881355931,1.0,
1843.1.1,1.0988031578947368,0.9829136273115219,1.0687381140350876,1.008577467105263,1.0,1.0,1.0568981578947365,1.253997763157895,1.021087969924812,1.3341154210526318,1.1925177345537756,1.2764977631578953,0.9880331578947367,1.232384795321638,1.3453162768031186,3.305106127819548,2.7140626096491225,1.0,1.0757764277715567,1.0338982236842102,1.4040062581110313,1.12162332123412,1.0,1.154624552631579,1.1017176842105265,1.201656635338346,1.102979008097166,1.0,1.2462865497076019,1.0829776315789474,1.0193662538699693,1.2181076315789472,1.3601770175438592,1.188188596491228,1.1500320574162681,1.2097789473684213,1.0713263157894735,1.9388888471177945,1.5152270559210526,1.0,1.0,1.390914378730331,1.1528207648026316,1.2122286297640652,1.3164423279352226,1.2053012889366272,1.3486229036574484,1.0,
1844.1.1,1.0584931278195489,0.9833550568990043,1.0705381184210523,0.9676823026315785,1.0,1.0,1.0233127631578947,1.2434172368421053,1.016948496240602,1.3522911052631579,1.187134782608696,1.2866832017543857,0.9892373684210526,1.2470192982456136,1.3706822124756337,3.3395380827067673,2.995499429824561,1.0,1.0652960246360583,1.0040170888157893,1.4636029704397981,1.1315235934664247,1.0,1.1684274473684213,1.0828703815789473,1.2030552506265662,1.0923289433198382,1.0,1.2260913742690058,1.100890263157895,1.0230851393188856,1.19611197368421,1.341387017543859,1.187456871345029,1.144164832535885,1.253123684210526,1.0916907894736843,2.0653278195488722,1.592275740131579,1.0,1.0,1.4843859739555072,1.1797385279605268,1.2513319419237752,1.371921558704453,1.2689508592910848,1.4097440900981264,1.0,
1845.1.1,1.047986646616541,0.9868364366998579,1.068786403508772,0.937521315789474,1.0,1.0,1.025551842105263,1.249102653508772,1.0214642857142864,1.3682013421052637,1.185874942791762,1.2851027192982454,0.9930757894736845,1.2637026315789472,1.402048099415204,3.345634360902256,3.191150855263159,1.0,1.051957334826428,0.967402417763158,1.508203078586878,1.1335219600725952,1.0,1.153412789473684,1.0690147105263157,1.1804768358395992,1.0651202064777332,1.0,1.2064817251461986,1.1085294736842102,1.0253319659442726,1.1912386842105258,1.3366454385964908,1.19916447368421,1.1508696172248805,1.317781339712918,1.112359210526316,2.203181453634085,1.6959953125,1.0,1.0,1.595943570265871,1.1976835937499997,1.3176854355716878,1.4274007813765184,1.3695322771213747,1.4708652676181981,1.0,
1846.1.1,1.0467824360902256,0.9907164509246089,1.0643215307017546,0.9340639802631578,1.0,1.0,1.0381960526315792,1.2367440789473687,1.0278616541353385,1.378869684210526,1.175338100686499,1.2625370175438597,0.9990215789473683,1.2543365497076022,1.4082920077972714,3.360761879699248,3.315592434210526,1.0,1.0423174692049273,0.9597304440789476,1.560453056957462,1.130978765880218,1.0,1.1321552105263157,1.0665517763157895,1.143404329573935,1.0453600404858299,1.0,1.2047255847953215,1.1135344736842108,1.024557198142415,1.2050682894736846,1.34595298245614,1.2039938596491224,1.162483014354067,1.334065550239234,1.1273539473684213,2.23127932330827,1.7662940789473685,1.0,1.0,1.6465354313619103,1.1894931332236838,1.3216365698729582,1.4828800080971658,1.3947447368421053,1.5319864495985724,1.0,
