"""1845-8-1",ammunition,54.21185
"""1845-8-1",small_arms,36.73898
"""1845-8-1",artillery,13.58618
"""1845-8-1",canned_food,151.33908
"""1845-8-1",cotton,154.29565
"""1845-8-1",dye,58.87381
"""1845-8-1",wool,1444.43457
"""1845-8-1",silk,7.99380
"""1845-8-1",coal,798.66452
"""1845-8-1",sulphur,94.65936
"""1845-8-1",iron,426.49326
"""1845-8-1",timber,908.02432
"""1845-8-1",tropical_wood,68.64233
"""1845-8-1",precious_metal,143.15781
"""1845-8-1",precious_goods,26.60312
"""1845-8-1",steel,170.95428
"""1845-8-1",cement,33.71243
"""1845-8-1",machine_parts,8.37891
"""1845-8-1",glass,648.23077
"""1845-8-1",fertilizer,148.57016
"""1845-8-1",explosives,69.83621
"""1845-8-1",clipper_convoy,19.63025
"""1845-8-1",steamer_convoy,47.46548
"""1845-8-1",fabric,713.15485
"""1845-8-1",lumber,1795.95441
"""1845-8-1",paper,583.07632
"""1845-8-1",cattle,446.19128
"""1845-8-1",fish,411.20712
"""1845-8-1",fruit,551.15384
"""1845-8-1",grain,1205.79315
"""1845-8-1",tobacco,345.79660
"""1845-8-1",tea,1192.30453
"""1845-8-1",coffee,189.40894
"""1845-8-1",opium,40.75577
"""1845-8-1",wine,423.53464
"""1845-8-1",liquor,514.69058
"""1845-8-1",regular_clothes,282.50204
"""1845-8-1",luxury_clothes,16.49286
"""1845-8-1",furniture,1083.86404
"""1845-8-1",luxury_furniture,19.32669
